;regId;address;factoryId;model_x;effectiveFrom;model_y;status;storageId
0;0000048952037338;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106308755882;АТОЛ FPrint-22ПТК;2017-02-06T16:53:00;ФН-1;2;8710000100131713
1;0000039219020755;195274, Санкт-Петербург г, пр-кт.Культуры, д.1, лит.А;00106307344169;АТОЛ FPrint-22ПТК;2017-01-30T21:48:00;ФН-1;2;8710000100130344
2;0000182040024937;109052, Москва г, ул.Нижегородская, д.50;009000116;СПАРК-115-Ф;2017-03-21T19:15:00;ФН-1;2;8710000100086130
3;0000181407021466;109052, Москва г, ул.Нижегородская, д.50;009000447;СПАРК-115-Ф;2017-03-21T17:16:00;ФН-1;2;8710000100181115
4;0000083853048447;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106301141944;АТОЛ FPrint-22ПТК;2017-02-21T15:52:00;ФН-1;2;8710000100099930
5;0000084015044351;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106304568120;АТОЛ FPrint-22ПТК;2017-02-21T16:19:00;ФН-1;2;8710000100130270
6;0000084276002635;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106303602296;АТОЛ FPrint-22ПТК;2017-02-21T17:03:00;ФН-1;2;8710000100100014
7;0000084135034696;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106305699561;АТОЛ FPrint-22ПТК;2017-02-21T16:42:00;ФН-1;2;8710000100079243
8;0000084381004854;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106307084460;АТОЛ FPrint-22ПТК;2017-02-21T17:19:00;ФН-1;2;8710000100100284
9;0000084447010757;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106304396272;АТОЛ FPrint-22ПТК;2017-02-21T17:39:00;ФН-1;2;8710000100099684
10;0000084493029399;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106301502866;АТОЛ FPrint-22ПТК;2017-02-21T17:52:00;ФН-1;2;8710000100130241
11;0000085394062101;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106307946287;АТОЛ FPrint-22ПТК;2017-02-22T09:45:00;ФН-1;2;8710000100130228
12;0000085275028274;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106307169969;АТОЛ FPrint-22ПТК;2017-02-22T09:20:00;ФН-1;2;8710000100130431
13;0000098274013026;191040, Санкт-Петербург г, пр-кт.Лиговский, д.30, лит.А;009000132;СПАРК-115-Ф;2017-02-28T18:26:00;ФН-1;2;8710000100086049
14;0000098005039375;191040, Санкт-Петербург г, пр-кт.Лиговский, д.30, лит.А;009000202;СПАРК-115-Ф;2017-02-28T19:13:00;ФН-1;2;8710000100087229
15;0000098172059344;191040, Санкт-Петербург г, пр-кт.Лиговский, д.30, лит.А;009000134;СПАРК-115-Ф;2017-02-28T19:09:00;ФН-1;2;8710000100086062
16;0000098039022090;191040, Санкт-Петербург г, пр-кт.Лиговский, д.30, лит.А;009000169;СПАРК-115-Ф;2017-02-28T19:04:00;ФН-1;2;8710000100087150
17;0000098195049047;191040, Санкт-Петербург г, пр-кт.Лиговский, д.30, лит.А;009000135;СПАРК-115-Ф;2017-02-28T18:15:00;ФН-1;2;8710000100086018
18;0000098060010528;191040, Санкт-Петербург г, пр-кт.Лиговский, д.30, лит.А;009000168;СПАРК-115-Ф;2017-02-28T18:05:00;ФН-1;2;8710000100087149
19;0000097973039885;191040, Санкт-Петербург г, пр-кт.Лиговский, д.30, лит.А;009000203;СПАРК-115-Ф;2017-02-28T17:52:00;ФН-1;2;8710000100087231
20;0000106077026786;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;009000179;СПАРК-115-Ф;2017-03-02T13:03:00;ФН-1;2;8710000100087182
21;0000150329045261;191040, Санкт-Петербург г, пр-кт.Лиговский, д.30, лит.А;009000133;СПАРК-115-Ф;2017-03-15T15:53:00;ФН-1;2;8710000100086057
22;0000326751055438;420034, г.Казань, ул.Декабристов, д.131;009002133;СПАРК-115-Ф;2017-04-14T18:38:00;ФН-1;2;8710000100351949
23;0000169882035565;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;009000353;СПАРК-115-Ф;2017-03-20T16:43:00;ФН-1;2;8710000100180141
24;0000169846021624;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;009000329;СПАРК-115-Ф;2017-03-20T16:53:00;ФН-1;2;8710000100180480
25;0000326734031321;420034, г.Казань, ул.Декабристов, д.131;009002137;СПАРК-115-Ф;2017-04-14T18:32:00;ФН-1;2;8710000100351672
26;0000178578022674;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;009000232;СПАРК-115-Ф;2017-03-21T13:49:00;ФН-1;2;8710000100082976
27;0000180038038528;109052, Москва г, ул.Нижегородская, д.50;009000233;СПАРК-115-Ф;2017-03-21T16:12:00;ФН-1;2;8710000100082945
28;0000181940025717;109052, Москва г, ул.Нижегородская, д.50;009000117;СПАРК-115-Ф;2017-03-21T18:47:00;ФН-1;2;8710000100086100
29;0000181888055418;109052, Москва г, ул.Нижегородская, д.50;009000446;СПАРК-115-Ф;2017-03-21T18:27:00;ФН-1;2;8710000100180210
30;0000326764018245;420034, г.Казань, ул.Декабристов, д.131;009002138;СПАРК-115-Ф;2017-04-14T18:24:00;ФН-1;2;8710000100435361
31;0000048844058529;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106309947167;АТОЛ FPrint-22ПТК;2017-02-06T16:26:00;ФН-1;2;8710000100131727
32;0000189449028862;109044, Москва г, пер.Крутицкий 3-й, д.18;009000234;СПАРК-115-Ф;2017-03-22T21:27:00;ФН-1;2;8710000100083023
33;0000189465029090;109044, Москва г, пер.Крутицкий 3-й, д.18;009000235;СПАРК-115-Ф;2017-03-22T21:42:00;ФН-1;2;8710000100082929
34;0000189475059505;109044, Москва г, пер.Крутицкий 3-й, д.18;009000200;СПАРК-115-Ф;2017-03-22T21:55:00;ФН-1;2;8710000100087046
35;0000189482011283;109044, Москва г, пер.Крутицкий 3-й, д.18;009000201;СПАРК-115-Ф;2017-03-22T22:05:00;ФН-1;2;8710000100087227
36;0000190276039097;109044, Москва г, пер.Крутицкий 3-й, д.18;009000210;СПАРК-115-Ф;2017-03-23T14:04:00;ФН-1;2;8710000100082792
37;0000190666003726;109044, Москва г, пер.Крутицкий 3-й, д.18;009000142;СПАРК-115-Ф;2017-03-23T14:16:00;ФН-1;2;8710000100086029
38;0000191894009188;142715, Московская обл, Ленинский р-н, с/п.Совхоз имени Ленина, п.совхоза им Ленина, км.МКАД 24, д.1;009000426;СПАРК-115-Ф;2017-03-23T16:57:00;ФН-1;2;8710000100180351
39;0000192065035063;603034, г.Нижний Новгород, пр-кт.Ленина, д.33;009000143;СПАРК-115-Ф;;ФН-1;2;8710000100086033
40;0000192250002480;603034, г.Нижний Новгород, пр-кт.Ленина, д.33;009000239;СПАРК-115-Ф;2017-03-23T15:59:00;ФН-1;2;8710000100082802
41;0000192384001225;603034, г.Нижний Новгород, пр-кт.Ленина, д.33;009000238;СПАРК-115-Ф;2017-03-23T16:07:00;ФН-1;2;8710000100082887
42;0000192508008210;603034, г.Нижний Новгород, пр-кт.Ленина, д.33;009000114;СПАРК-115-Ф;2017-03-23T16:16:00;ФН-1;2;8710000100086070
43;0000192613044392;603034, г.Нижний Новгород, пр-кт.Ленина, д.33;009000115;СПАРК-115-Ф;2017-03-23T16:22:00;ФН-1;2;8710000100086097
44;0000240820029651;197227, Санкт-Петербург г, ул.Гаккелевская, д.23, лит.А;009000236;СПАРК-115-Ф;2017-03-30T18:16:00;ФН-1;2;8710000100082873
45;0000240938046726;197227, Санкт-Петербург г, ул.Гаккелевская, д.23, лит.А;009000237;СПАРК-115-Ф;2017-03-30T18:22:00;ФН-1;2;8710000100083043
46;0000293786004802;198301, Санкт-Петербург г, г.Красное Село, ул.Театральная, д.6, лит.Б;009000188;СПАРК-115-Ф;2017-04-10T10:46:00;ФН-1;2;8710000100087211
47;0000293027009042;198301, Санкт-Петербург г, г.Красное Село, ул.Театральная, д.6, лит.Б;009000189;СПАРК-115-Ф;2017-04-10T10:20:00;ФН-1;2;8710000100087236
48;0000041269052912;195274, Санкт-Петербург г, пр-кт.Культуры, д.1, лит.А;00106301653807;АТОЛ FPrint-22ПТК;2017-01-31T19:52:00;ФН-1;2;8710000100130248
49;0000294058040334;198301, Санкт-Петербург г, г.Красное Село, ул.Театральная, д.6, лит.Б;009000111;СПАРК-115-Ф;2017-04-10T11:09:00;ФН-1;2;8710000100086105
50;0000294301019387;195220, Санкт-Петербург г, пр-кт.Гражданский, д.41, к.2, лит.Б;009000110;СПАРК-115-Ф;2017-04-10T11:27:00;ФН-1;2;8710000100086078
51;0000294468027980;195220, Санкт-Петербург г, пр-кт.Гражданский, д.41, к.2, лит.Б;009000218;СПАРК-115-Ф;2017-04-10T11:37:00;ФН-1;2;8710000100082960
52;0000294719040063;195220, Санкт-Петербург г, пр-кт.Гражданский, д.41, к.2, лит.Б;009000167;СПАРК-115-Ф;2017-04-10T11:58:00;ФН-1;2;8710000100087189
53;0000294619055875;195220, Санкт-Петербург г, пр-кт.Гражданский, д.41, к.2, лит.Б;009000219;СПАРК-115-Ф;2017-04-10T11:48:00;ФН-1;2;8710000100082994
54;0000294802037947;195220, Санкт-Петербург г, пр-кт.Гражданский, д.41, к.2, лит.Б;009000166;СПАРК-115-Ф;2017-04-10T12:06:00;ФН-1;2;8710000100087138
55;0000292464020586;420107, г.Казань, ул.Петербургская, д.1;009000178;СПАРК-115-Ф;2017-04-10T08:30:00;ФН-1;2;8710000100087194
56;0000292532034264;420107, г.Казань, ул.Петербургская, д.1;009000211;СПАРК-115-Ф;2017-04-10T08:44:00;ФН-1;2;8710000100082845
57;0000292580048663;420107, г.Казань, ул.Петербургская, д.1;009000226;СПАРК-115-Ф;2017-04-10T08:55:00;ФН-1;2;8710000100082946
58;0000292657064321;420107, г.Казань, ул.Петербургская, д.1;009000227;СПАРК-115-Ф;2017-04-10T09:07:00;ФН-1;2;8710000100083019
59;0000387930040064;191123, Санкт-Петербург г, пр-кт.Чернышевского, д.17, лит.А;009110082;СПАРК-115-Ф;2017-04-26T15:05:00;ФН-1;2;8710000100437219
60;0000388157039081;191123, Санкт-Петербург г, пр-кт.Чернышевского, д.17, лит.А;009110084;СПАРК-115-Ф;2017-04-26T15:18:00;ФН-1;2;8710000100437340
61;0000388255006701;191123, Санкт-Петербург г, пр-кт.Чернышевского, д.17, лит.А;009110086;СПАРК-115-Ф;;ФН-1;2;8710000100437015
62;0000388280064957;191123, Санкт-Петербург г, пр-кт.Чернышевского, д.17, лит.А;009110087;СПАРК-115-Ф;;ФН-1;2;8710000100434777
63;0000338599036171;195274, Санкт-Петербург г, пр-кт.Культуры, д.7, лит.А;009110048;СПАРК-115-Ф;2017-04-18T13:48:00;ФН-1;2;8710000100373863
64;0000338895047064;195274, Санкт-Петербург г, пр-кт.Культуры, д.7, лит.А;009110046;СПАРК-115-Ф;2017-04-18T15:02:00;ФН-1;2;8710000100373990
65;0000338990002695;195274, Санкт-Петербург г, пр-кт.Культуры, д.7, лит.А;009110042;СПАРК-115-Ф;2017-04-18T14:27:00;ФН-1;2;8710000100312951
66;0000339013006710;195274, Санкт-Петербург г, пр-кт.Культуры, д.7, лит.А;009110045;СПАРК-115-Ф;2017-04-18T14:39:00;ФН-1;2;8710000100373828
67;0000339030037978;195274, Санкт-Петербург г, пр-кт.Культуры, д.7, лит.А;009110047;СПАРК-115-Ф;2017-04-18T14:47:00;ФН-1;2;8710000100373929
68;0000339176065430;195274, Санкт-Петербург г, пр-кт.Культуры, д.7, лит.А;009110043;СПАРК-115-Ф;2017-04-18T14:55:00;ФН-1;2;8710000100374103
69;0000338947038505;195274, Санкт-Петербург г, пр-кт.Культуры, д.7, лит.А;009110044;СПАРК-115-Ф;2017-04-18T15:09:00;ФН-1;2;8710000100374148
70;0000347843039562;143441, Московская обл, Красногорский р-н, д.Путилково, км.МКАД 71, стр.16А;009010218;СПАРК-115-Ф;2017-04-19T15:45:00;ФН-1;2;8710000100352049
71;0000347944048485;143441, Московская обл, Красногорский р-н, д.Путилково, км.МКАД 71, стр.16А;009010215;СПАРК-115-Ф;2017-04-19T15:41:00;ФН-1;2;8710000100352080
72;0000347908062631;143441, Московская обл, Красногорский р-н, д.Путилково, км.МКАД 71, стр.16А;009010217;СПАРК-115-Ф;2017-04-19T15:48:00;ФН-1;2;8710000100352085
73;0000347924062907;143441, Московская обл, Красногорский р-н, д.Путилково, км.МКАД 71, стр.16А;009010216;СПАРК-115-Ф;;ФН-1;2;87100100352122
74;0000361999035361;197374, Санкт-Петербург г, дор.Торфяная, д.7, лит.В;009110073;СПАРК-115-Ф;2017-04-21T13:56:00;ФН-1;2;8710000100436051
75;0000362252030922;197374, Санкт-Петербург г, дор.Торфяная, д.7, лит.В;009110074;СПАРК-115-Ф;2017-04-21T13:46:00;ФН-1;2;8710000100436283
76;0000361850057104;197374, Санкт-Петербург г, дор.Торфяная, д.7, лит.В;009110075;СПАРК-115-Ф;2017-04-21T14:26:00;ФН-1;2;8710000100435949
77;0000362052038626;197374, Санкт-Петербург г, дор.Торфяная, д.7, лит.В;009110076;СПАРК-115-Ф;2017-04-21T13:42:00;ФН-1;2;8710000100435465
78;0000362199047277;197374, Санкт-Петербург г, дор.Торфяная, д.7, лит.В;009110077;СПАРК-115-Ф;2017-04-21T13:33:00;ФН-1;2;8710000100436260
79;0000361247050254;193168, Санкт-Петербург г, пр-кт.Большевиков, д.18, к.2, лит.А;009110078;СПАРК-115-Ф;2017-04-21T12:21:00;ФН-1;2;8710000100437022
80;0000362312040580;193168, Санкт-Петербург г, пр-кт.Большевиков, д.18, к.2, лит.А;009110079;СПАРК-115-Ф;2017-04-21T14:33:00;ФН-1;2;8710000100435854
81;0000361442036105;193168, Санкт-Петербург г, пр-кт.Большевиков, д.18, к.2, лит.А;009110080;СПАРК-115-Ф;2017-04-21T12:26:00;ФН-1;2;8710000100435974
82;0000361480026571;193168, Санкт-Петербург г, пр-кт.Большевиков, д.18, к.2, лит.А;009110081;СПАРК-115-Ф;2017-04-21T12:44:00;ФН-1;2;8710000100437097
83;0000388127003286;191123, Санкт-Петербург г, пр-кт.Чернышевского, д.17, лит.А;009110083;СПАРК-115-Ф;2017-04-26T15:15:00;ФН-1;2;8710000100437276
84;0000388226018579;191123, Санкт-Петербург г, пр-кт.Чернышевского, д.17, лит.А;009110085;СПАРК-115-Ф;2017-04-26T15:22:00;ФН-1;2;8710000100440063
85;0000389448006674;180005, г.Псков, ш.Ленинградское, д.26, лит.Б;009010822;СПАРК-115-Ф;2017-04-26T18:15:00;ФН-1;2;8710000100495951
86;0000390108013830;180005, г.Псков, ш.Ленинградское, д.26, лит.Б;009010823;СПАРК-115-Ф;;ФН-1;2;8710000100495904
87;0000389700044345;180005, г.Псков, ш.Ленинградское, д.26, лит.Б;009010824;СПАРК-115-Ф;;ФН-1;2;8710000100495911
88;0000389406002284;180005, г.Псков, ш.Ленинградское, д.26, лит.Б;009010825;СПАРК-115-Ф;;ФН-1;2;8710000100495878
89;0000390518013935;196634, Санкт-Петербург г, п.Шушары, тер.Московская Славянка, д.17, лит.А;009110091;СПАРК-115-Ф;2017-04-27T10:08:00;ФН-1;2;8710000100436009
90;0000390375043238;196634, Санкт-Петербург г, п.Шушары, тер.Московская Славянка, д.17, лит.А;009110090;СПАРК-115-Ф;2017-04-27T10:05:00;ФН-1;2;8710000100437298
91;0000390355008853;196634, Санкт-Петербург г, п.Шушары, тер.Московская Славянка, д.17, лит.А;009110089;СПАРК-115-Ф;2017-04-27T10:02:00;ФН-1;2;8710000100437342
92;0000390333022178;196634, Санкт-Петербург г, п.Шушары, тер.Московская Славянка, д.17, лит.А;009110088;СПАРК-115-Ф;2017-04-27T09:57:00;ФН-1;2;8710000100437146
93;0000419978046396;196105, Санкт-Петербург г, пр-кт.Космонавтов, д.14, лит.А;009110095;СПАРК-115-Ф;;ФН-1;2;8710000100439627
94;0000420016052838;196105, Санкт-Петербург г, пр-кт.Космонавтов, д.14, лит.А;009110097;СПАРК-115-Ф;;ФН-1;2;8710000100501634
95;0000419992031155;196105, Санкт-Петербург г, пр-кт.Космонавтов, д.14, лит.А;009110096;СПАРК-115-Ф;;ФН-1;2;8710000100501597
96;0000420025028482;196105, Санкт-Петербург г, пр-кт.Космонавтов, д.14, лит.А;009110300;СПАРК-115-Ф;;ФН-1;2;8710000100437358
97;0000420044035330;196105, Санкт-Петербург г, пр-кт.Космонавтов, д.14, лит.А;009110301;СПАРК-115-Ф;;ФН-1;2;8710000100437299
98;0000425094023419;194356, Санкт-Петербург г, пр-кт.Просвещения, д.19, лит.А;009110302;СПАРК-115-Ф;;ФН-1;2;8710000100501951
99;0000425147051061;194356, Санкт-Петербург г, пр-кт.Просвещения, д.19, лит.А;009110303;СПАРК-115-Ф;;ФН-1;2;8710000100435356
100;0000425160003726;194356, Санкт-Петербург г, пр-кт.Просвещения, д.19, лит.А;009110304;СПАРК-115-Ф;;ФН-1;2;8710000100436006
101;0000425174038328;194356, Санкт-Петербург г, пр-кт.Просвещения, д.19, лит.А;009110305;СПАРК-115-Ф;;ФН-1;2;8710000100502164
102;0000425193060861;194356, Санкт-Петербург г, пр-кт.Просвещения, д.19, лит.А;009110306;СПАРК-115-Ф;;ФН-1;2;8710000100437254
